X,Y,FID,OBJECTID_1,ID_CÁMARA,NOMBRE_DEL,LONGITUD,LATITUD,DIRECCIÓN,NÚMERO_DE,VELOCIDADM,CORREDOR_P,VIA_SECUND,SENTIDO,CALZADA,CARRILES,LOCALIDAD,INFRACCION
-8257537.8947,515365.3301,72,72,DEI-031/CAM-01,AV CIUDAD DE CALI - CL 53 SUR (N-S),-74.178725,4.624576,AV CIUDAD DE CALI - CL 52 SUR (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Ciudad de Cali,CL 53 Sur,(Norte - Sur),Única,3,Bosa,D.04 - C.35 - D.02
-8257583.2017,515290.167399999,73,73,DEI-031/CAM-02,AV CIUDAD DE CALI - CL 53 SUR (S-N),-74.179132,4.623903,AV CIUDAD DE CALI - CL 53 SUR (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Ciudad de Cali,CL 53 Sur,(Sur - Norte),Única,3,Bosa,D.04 - C.35 - D.02
-8248384.6496,528933.765299998,74,74,DEI-032/CAM-01,AV SUBA - AV CIUDAD DE CALI (S-N),-74.0965,4.746056,AV CIUDAD DE CALI - AV SUBA (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Ciudad de Cali,Av. Suba,(Sur - Norte),Única,3,Suba,C.29 - D.04 - C.35 - D.02
-8248330.2143,529040.329599999,75,75,DEI-032/CAM-02,AV SUBA - AV CIUDAD DE CALI (N-S),-74.096011,4.74701, AV CIUDAD DE CALI - AV SUBA (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Ciudad de Cali,Av. Suba,(Norte - Sur),Única,3,Suba,C.29 - D.04 - C.35 - D.02
-8251238.6587,526327.566599999,76,76,DEI-033/CAM-01,AC 80 - KR 114 (O-E),-74.122138,4.722724,AC 80 - KR 114 (O-E),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Calle 80,KR 114,(Occidente - Oriente),Rápida,2,Engativá,C.29 - C.35 - D.02
-8251239.3266,526365.544199999,77,77,DEI-033/CAM-02,AC 80 - KR 114 (E-O),-74.122144,4.723064,AC 80 - KR 114 (E-O),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Calle 80,KR 114,(Oriente - Occidente),Rápida,2,Engativá,C.29 - C.35 - D.02
-8241562.8798,523021.354699999,78,78,DEI-034/CAM-01,CL 116 - KR 9 (N-S),-74.035219,4.693124,AK 9 - CL 113 (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,60,Av. Carrera 9,KR 9,(Norte - Sur),Única,3,Usaquén,C.29 - C.35 - D.02
-8241565.8855,522944.0625,79,79,DEI-034/CAM-02,CL 116 - KR 9 (S-N),-74.035246,4.692432,AK 9 - CL 113 (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,60,Av. Carrera 9,KR 9,(Sur - Norte),Única,3,Usaquén,C.29 - C.35 - D.02
-8246298.411,522112.952799998,80,80,DEI-035/CAM-01,AK 68 - AC 80 (S-N) C. RAP,-74.077759,4.684991,AK 68 - CL 87 (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Carrera 68,AC 80,(Sur - Norte),Rápida,2,Engativá,C.29 - C.35 - D.02
-8246292.7337,522119.766100001,81,81,DEI-035/CAM-02,AK 68 - AC 80 (N-S) C. RAP,-74.077708,4.685052,AK 68 - CL 87 (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Carrera 68,AC 80,(Norte - Sur),Rápida,2,Engativá,C.29 - C.35 - D.02
-8243619.0622,524904.0911,82,82,DEI-036/CAM-01,AUTONORTE - CL 127 (N-S) C. LEN,-74.05369,4.70998,AUTP. NORTE - CL 127B (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,60,Autopista Norte,CL 127,(Norte - Sur),Lenta,2,Suba,C.29 - C.35 - D.02
-8243597.2435,524901.745499998,83,83,DEI-036/CAM-02,AUTONORTE - CL 127 (N-S) C. RAP,-74.053494,4.709959,AUTP. NORTE - CL 127B (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,60,Autopista Norte,CL 127,(Norte - Sur),Rápida,3,Suba,C.29 - C.35 - D.02
-8243572.0853,524836.402899999,84,84,DEI-036/CAM-03,AUTONORTE - CL 127 (S-N) C. RAP,-74.053268,4.709374,AUTP. NORTE - CL 127 (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,60,Autopista Norte,CL 127,(Sur - Norte),Rápida,3,Usaquén,C.29 - C.35 - D.02
-8243550.6007,524834.504099999,85,85,DEI-036/CAM-04,AUTONORTE - CL 127 (S-N) C. LEN,-74.053075,4.709357,AUTP. NORTE - CL 127 (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,60,Autopista Norte,CL 127,(Sur - Norte),Lenta,3,Usaquén,C.29 - C.35 - D.02
-8256839.4762,515694.237500001,86,86,DEI-037/CAM-01,AV CIUDAD DE CALI - AV VILLAVICENCIO (S-N),-74.172451,4.627521,AV CIUDAD DE CALI - CL 43 SUR (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Ciudad de Cali,Av. Villavicencio,(Norte - Sur),Única,3,Kennedy,C.29 - C.35 - D.02
